ProgramomraadeNivaa;Utdanningsprogramvariantkode;Programomraadekode;UtdanningsprogramvariantNavn;ProgramomraadeNavn;2024.Desember.Alle fylker.Alle sektorer.Alle kjønn.Andel kontrakter
0;Alle;Alle;Alle utdanningsprogram;Alle programområder;80,3
2;BA;BA;Bygg- og anleggsteknikk;Alle programområder;85,4
3;BA;BABAN3;Bygg- og anleggsteknikk;BABAN3 - Banemontørfaget;95,0
3;BA;BABDR3;Bygg- og anleggsteknikk;BABDR3 - Byggdrifterfaget;64,5
3;BA;BABET3;Bygg- og anleggsteknikk;BABET3 - Betongfaget;87,9
3;BA;BABFB3;Bygg- og anleggsteknikk;BABFB3 - Brannforebygger;87,1
3;BA;BABRO3;Bygg- og anleggsteknikk;BABRO3 - Brønn- og borefaget;92,9
3;BA;BABYM3;Bygg- og anleggsteknikk;BABYM3 - Byggmontasjefaget;94,7
3;BA;BAFEI3;Bygg- og anleggsteknikk;BAFEI3 - Feierfaget;
3;BA;BAFJE3;Bygg- og anleggsteknikk;BAFJE3 - Fjell- og bergverksfaget;89,7
3;BA;BAFMF3;Bygg- og anleggsteknikk;BAFMF3 - Fundamenteringsfaget;100,0
3;BA;BAGLA3;Bygg- og anleggsteknikk;BAGLA3 - Glassfaget;90,9
3;BA;BAIMF3;Bygg- og anleggsteknikk;BAIMF3 - Industrimalerfaget;92,9
3;BA;BAISL3;Bygg- og anleggsteknikk;BAISL3 - Isolatørfaget;85,7
3;BA;BAISO3;Bygg- og anleggsteknikk;BAISO3 - Isolatørfaget;
3;BA;BALIM3;Bygg- og anleggsteknikk;BALIM3 - Limtreproduksjonsfaget;
3;BA;BAMAL3;Bygg- og anleggsteknikk;BAMAL3 - Malerfaget;
3;BA;BAMFF3;Bygg- og anleggsteknikk;BAMFF3 - Murer- og flisleggerfaget;84,4
3;BA;BAMOT3;Bygg- og anleggsteknikk;BAMOT3 - Maler- og overflateteknikkfaget;85,6
3;BA;BAMUR3;Bygg- og anleggsteknikk;BAMUR3 - Murerfaget;
3;BA;BARHO3;Bygg- og anleggsteknikk;BARHO3 - Renholdsoperatørfaget;
3;BA;BARLF3;Bygg- og anleggsteknikk;BARLF3 - Rørleggerfaget;84,5
3;BA;BAROF3;Bygg- og anleggsteknikk;BAROF3 - Renholdsoperatørfaget;60,0
3;BA;BASBF3;Bygg- og anleggsteknikk;BASBF3 - Stillasbyggerfaget;91,2
3;BA;BASNE3;Bygg- og anleggsteknikk;BASNE3 - Snekkerfaget;74,7
3;BA;BASTE3;Bygg- og anleggsteknikk;BASTE3 - Steinfaget;57,1
